N	Count	v2inv	v2inv_err	9gons	9gons_err	3gons	3gons_err	5gons	5gons_err	7gons	7gons_err	4gons	4gons_err	8gons	8gons_err	1gons	1gons_err	2gons	2gons_err	maxfv	maxfv_err	6gons	6gons_err
1	40576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0
2	40639	0.0	0.0	0.0	0.0	1.002583724993233	0.004960518161517785	0.0	0.0	0.0	0.0	0.49870813750338344	0.0024802590807588925	0.0	0.0	2.0	0.0	0.49870813750338344	0.0024802590807588925	3.4987081375033835	0.0024802590807588894	0.0	0.0
3	40342	0.012071786227752714	0.000266827156231526	0.0	0.0	0.7654801447622824	0.0037314232873240155	0.5729016905458332	0.0024627780010617077	0.0	0.0	0.42739576619899855	0.002462995808449716	0.0	0.0	2.283005304645283	0.003494495099516495	0.715209954885727	0.004384268060946965	4.9966288235585745	0.0037653010408108226	0.23600713896187597	0.0021141145138106818
4	40665	0.03100331980818886	0.0004086132802663092	0.0	0.0	0.8624861674658797	0.004080135817524741	0.42926349440550843	0.0032322919466316867	0.3081519734415345	0.0022896939762760905	0.5082011557850732	0.0032762155524169207	0.10652895610475839	0.0015299022679937484	2.5822697651543094	0.004518290148199955	0.8941841878765523	0.004293513982837253	6.074658797491701	0.0059777965148960135	0.30891429976638385	0.0027446896953657557
5	40643	0.05267819796766971	0.0005090755984106631	0.15495903353591026	0.0017949586680126378	0.9856801909307876	0.004438205837497895	0.48677509042147477	0.003218360572117653	0.2538936594247472	0.002284519460644838	0.6099943409689246	0.0039341806761130915	0.19363728071254582	0.0019600485520198324	2.8882710429840315	0.005130706628381731	1.0466500996481558	0.004437379541704657	7.040843441675073	0.007577629515637515	0.33371060207169745	0.0025655861486634764
6	40533	0.07316877605901365	0.0005841214528005262	0.152295660326154	0.0018328067815407462	1.0947376211975428	0.004699223842285262	0.549108134112945	0.003459038503799242	0.29082476007204006	0.002551985622989974	0.6938543902499198	0.0041359532583347645	0.2100017269878864	0.0021705749434858803	3.2252238916438456	0.005545214213731008	1.1913749290701403	0.004745386592108949	7.87124071744011	0.008961305244429335	0.38462487355981545	0.002797517844759534
7	40454	0.0963192762149602	0.0006532865018524201	0.16917980916596628	0.0019294042536453877	1.2138478271617146	0.004949630966708067	0.6248331438176694	0.0037408184503768265	0.3293617442032926	0.002676509146582766	0.7883769219360262	0.00433382480822425	0.23967963612992535	0.0022760769087153596	3.5489444801502943	0.005907303013266903	1.3314628961289365	0.005003009197723046	8.560043506204577	0.010269955344526517	0.44099471004103424	0.003165309279750332
8	40491	0.12131090859697216	0.000718438776971994	0.1969573485465906	0.0020880544712021036	1.3372601318811588	0.005214157335459387	0.690252154799832	0.003949576486784618	0.3771702353609444	0.002876928837998964	0.8654268849867872	0.0045107902997822665	0.2725790916499963	0.002411270425739252	3.8928156874367144	0.006278578531310287	1.460917240868341	0.005237065179229646	9.173495344644488	0.011228572485821169	0.49833296288064016	0.0033751326162243323
9	40638	0.14466140065948127	0.0007784045482343857	0.2231655101136867	0.002204688998775117	1.4579211575372804	0.005467606323847627	0.7523992322456814	0.004113698729987584	0.42083763964762044	0.0030713913614350656	0.947955115901373	0.0047194436526502214	0.30567449185491413	0.00259500300801081	4.219498991092081	0.006587650127633981	1.6196171071410994	0.005508568074002977	9.73738865101629	0.012194241982233088	0.548279935036173	0.003523325857880019
10	40596	0.1654227017440142	0.0008290938581695271	0.25859690609912306	0.002393742840989417	1.57441619864026	0.005657232976647551	0.8122967780076855	0.004273213189855861	0.4489358557493349	0.0031734629883094618	1.0232042565770028	0.0048831803316128864	0.3353286038033304	0.0027434726879771373	4.595206424278254	0.0069042229094026675	1.744580746871613	0.005757402918933626	10.293156961276972	0.013020758456227539	0.5943935363089959	0.003679911937868523
11	40718	0.190081782012869	0.0008870676626979019	0.27471879758337836	0.002459474254890962	1.7119455768947394	0.005881414991781011	0.881502038410531	0.0044416960639874605	0.49255857360381156	0.0033320227754739056	1.108797092195098	0.005065503981106637	0.3723169114396581	0.002880411425774956	4.905250749054472	0.007195979663128876	1.8979075593103787	0.005963913578669044	10.723905889287293	0.013705952695910194	0.6547227270494621	0.0038590523947372906
12	40535	0.2157394843962008	0.0009396445495943744	0.3048229924756383	0.002616374401449203	1.8157641544344394	0.006150420469388691	0.9572468237325767	0.004655054405881007	0.5374861231034909	0.003508422045982199	1.1992845688910818	0.005272708016863178	0.40007401011471566	0.0029897602728337597	5.260046873072653	0.007530863893897913	2.0304428271863824	0.0062037388380896865	11.136227951153325	0.014329953289042354	0.699296903910201	0.003976373208097141
13	40527	0.23905667826387347	0.0009895443080335114	0.3298788462012979	0.002719713288875782	1.941693192192859	0.006309216267902015	1.0118686307893503	0.004783197117384715	0.5797369654798036	0.003605246420807158	1.2755446985959977	0.005479496139995093	0.4298615737656377	0.0031301539923720752	5.608236484319096	0.007824824228407485	2.177165840057246	0.006397606952788178	11.536777950502135	0.014942382206409421	0.748143213166531	0.00414305578097223
14	40687	0.2645746798731782	0.0010305084792877686	0.3488337798313958	0.002805971304948982	2.0611005972423624	0.006522363454308798	1.097942831862757	0.0049549080001684166	0.6181089782977364	0.0037424749953682084	1.3637525499545309	0.0056428821808087015	0.45999950844250004	0.0032439675317777997	5.953326615380834	0.008069196245053584	2.315702804335537	0.0066382923737191655	11.935802590508025	0.015576873085973624	0.7890726767763659	0.0042552970232021155
15	40341	0.2874309015641655	0.0010737687692868405	0.37567239285094567	0.0029258709150973543	2.1841798666369203	0.006695124794539677	1.1612503408443022	0.0051327567072781	0.6649066706328549	0.003881166526144118	1.4495426489179744	0.0058206717843514106	0.49133635755187033	0.0033581312648441673	6.2869537195409135	0.008319111743902098	2.453384893780521	0.006817813994398836	12.232517785875412	0.01595695809240107	0.8546392008130685	0.004437214940309754
16	40543	0.31205756850751054	0.00112321030190309	0.4026835705300545	0.0030163988683767477	2.31297634610167	0.006895653056248116	1.2094566262980047	0.005206471844681282	0.6956317983375675	0.0040051935437790025	1.5189305182152282	0.005903855744584388	0.5239868781293935	0.0034624859223629577	6.667266852477616	0.00854545568831655	2.589201588436968	0.00701303067960947	12.623806822386108	0.01651852626543701	0.8928298349900106	0.004524922508748116
17	40357	0.3392162450132567	0.0011689871740855283	0.42532893921748394	0.0031048034715963403	2.424536016056694	0.007097720521242392	1.283395693436083	0.005426047583155309	0.730728250365488	0.004083989079866181	1.624055306390465	0.0061400650865495	0.5553187798894863	0.0035607258129899707	6.9931610377381865	0.008820926052869958	2.7359070297593973	0.00718506707306401	12.878980102584434	0.01684558900769881	0.9479148598756102	0.004663726719825219
18	41026	0.3633366645541852	0.0011908337772527319	0.4513479257056501	0.003204463248163667	2.5503826841515136	0.007202506507263693	1.3469750889679715	0.005482962374762457	0.7784331887095988	0.004178975804176647	1.7106712816262857	0.006251059741360945	0.5841417637595671	0.0036301286173505173	7.34219763077073	0.008929455769683545	2.8648418076341833	0.007325892646944724	13.160434846195097	0.01709352226808971	1.001706235070443	0.004784534116455845
19	40365	0.38813947726991205	0.0012458875336328924	0.47263718568066393	0.003286169961588774	2.6722655766134027	0.00747620642170903	1.4102564102564104	0.005657586045039696	0.8169205995292952	0.004334592703242753	1.7871918741483959	0.0064834856979793035	0.6227177009785706	0.0037993374254380987	7.676402824228911	0.009184323044632533	3.0199677938808374	0.007530050766517121	13.41112349808002	0.01749679252896739	1.0592097113836245	0.004953455090854651
20	40362	0.41385461572766463	0.0012830224031083976	0.4949457410435558	0.003373099178332383	2.788662603438878	0.007608758046150766	1.4871413705961052	0.005807890069128492	0.8572915118180466	0.004433964644340254	1.866532877458996	0.006560484702668289	0.6505128586294039	0.0038686833309185403	8.040681829443535	0.009459975224573262	3.1525196967444624	0.007725081944689142	13.677642336851495	0.017922374739599085	1.0983598434170754	0.005057143262109574
21	40162	0.4415367760569693	0.0013316926438454418	0.5249987550420796	0.0034925808397321245	2.9107863154225386	0.00776651599392697	1.5488023504805537	0.005975738228263656	0.8930083163189084	0.004543209963194167	1.945595338877546	0.006741565003979479	0.6787759573726408	0.003932087884887556	8.389049350131966	0.0097069714393357	3.293137791942632	0.007982263555493077	13.916338827747623	0.018131048415329528	1.1599521936158559	0.005154334308254449
22	40880	0.46383928571428573	0.001354152936150554	0.5569227005870842	0.003542792340459124	3.025978473581213	0.007851694586107833	1.6209148727984344	0.006064381491504235	0.9379647749510763	0.00463335128617761	2.0349315068493152	0.00681744568015778	0.7068982387475539	0.004026633876954739	8.73378180039139	0.009854197773277432	3.442710371819961	0.00804366241462983	14.16609589041096	0.01830955549185874	1.196550880626223	0.005227839855625196
23	40385	0.49278197350501424	0.0013982443160369855	0.5770706945648136	0.003619641713876685	3.1484957286121085	0.008087271429198318	1.683248730964467	0.006196264059028986	0.9744211959886097	0.004768185635603827	2.111006561842268	0.0070083553803223595	0.741958648012876	0.004141788004319164	9.087185836325368	0.01010603824077518	3.576724031199703	0.008250672829895212	14.372390739135819	0.0188892848545392	1.2612356072799307	0.005413580676053973
24	40490	0.5165411212645098	0.0014274903374821085	0.6010125957026426	0.0037016006877114574	3.2874536922696964	0.008213800885682772	1.756384292417881	0.006345322743608054	1.0066683131637442	0.004774868464672017	2.1944677698197084	0.007122926224116923	0.7776981970857002	0.004229835876513939	9.413904667819214	0.01024603286226513	3.7228204494937023	0.008411875760003025	14.560237095579156	0.018871952838302425	1.3075080266732526	0.005495626177046983
25	40612	0.5436816704422338	0.0014637663190173564	0.6242489904461735	0.0037679258219381123	3.398946124298237	0.008379303448815772	1.8111888111888113	0.00645543825900966	1.0587264847828228	0.00493037054398887	2.2727518959913326	0.00727381919984186	0.7994681374963065	0.004275868515577079	9.766226731015463	0.010473387680461936	3.8784841918644735	0.008534556863422933	14.778710725893825	0.019151427628862166	1.3626514330739683	0.0055799201148090056
26	40551	0.5722793519272028	0.0014987652131099646	0.645434144657345	0.0038459048824240716	3.535424527138665	0.008511516184081958	1.8872284283988063	0.006508886126777714	1.0960518852802643	0.005049818468084602	2.3592513131612045	0.007367053948841652	0.8352445069172154	0.004365240864244153	10.117752953071442	0.010667647737087149	4.001454957954181	0.008669944156044619	14.987669847845922	0.019484571870473373	1.401962960222929	0.005672299050452205
