N	wl_1gons	wl_1gons_err	am_1gons	am_1gons_err	uf_1gons	uf_1gons_err	wl_2gons	wl_2gons_err	am_2gons	am_2gons_err	uf_2gons	uf_2gons_err	wl_3gons	wl_3gons_err	am_3gons	am_3gons_err	uf_3gons	uf_3gons_err	wl_4gons	wl_4gons_err	am_4gons	am_4gons_err	uf_4gons	uf_4gons_err	wl_5gons	wl_5gons_err	am_5gons	am_5gons_err	uf_5gons	uf_5gons_err	wl_6gons	wl_6gons_err	am_6gons	am_6gons_err	uf_6gons	uf_6gons_err	wl_7gons	wl_7gons_err	am_7gons	am_7gons_err	uf_7gons	uf_7gons_err	wl_8gons	wl_8gons_err	am_8gons	am_8gons_err	uf_8gons	uf_8gons_err	wl_9gons	wl_9gons_err	am_9gons	am_9gons_err	uf_9gons	uf_9gons_err	wl_maxfv	wl_maxfv_err	am_maxfv	am_maxfv_err	uf_maxfv	uf_maxfv_err
1	2.0	0.0	nan	nan	nan	nan	1.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	2.0	0.0	nan	nan	nan	nan
2	2.0	0.0	nan	nan	nan	nan	0.49870813750338344	0.0024802590807588925	nan	nan	nan	nan	1.002583724993233	0.004960518161517785	nan	nan	nan	nan	0.49870813750338344	0.0024802590807588925	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	3.4987081375033835	0.0024802590807588894	nan	nan	nan	nan
3	2.283005304645283	0.003494495099516495	nan	nan	nan	nan	0.715209954885727	0.004384268060946965	nan	nan	nan	nan	0.7654801447622824	0.0037314232873240155	nan	nan	nan	nan	0.42739576619899855	0.002462995808449716	nan	nan	nan	nan	0.5729016905458332	0.0024627780010617077	nan	nan	nan	nan	0.23600713896187597	0.0021141145138106818	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	4.9966288235585745	0.0037653010408108226	nan	nan	nan	nan
4	2.5822697651543094	0.004518290148199955	nan	nan	nan	nan	0.8941841878765523	0.004293513982837253	nan	nan	nan	nan	0.8624861674658797	0.004080135817524741	nan	nan	nan	nan	0.5082011557850732	0.0032762155524169207	nan	nan	nan	nan	0.42926349440550843	0.0032322919466316867	nan	nan	nan	nan	0.30891429976638385	0.0027446896953657557	nan	nan	nan	nan	0.3081519734415345	0.0022896939762760905	nan	nan	nan	nan	0.10652895610475839	0.0015299022679937484	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	6.074658797491701	0.0059777965148960135	nan	nan	nan	nan
5	2.8882710429840315	0.005130706628381731	2.5711	0.010339945792894666	2.8966	0.010291299432044532	1.0466500996481558	0.004437379541704657	1.3216	0.010408522661742154	1.0578	0.009066747818264276	0.9856801909307876	0.004438205837497895	0.9811	0.008989676245560794	0.9681	0.009014889849576643	0.6099943409689246	0.0039341806761130915	0.6908	0.008095649201886159	0.5945	0.007873180742241347	0.48677509042147477	0.003218360572117653	0.5192	0.006450049302137155	0.4853	0.006531339142932329	0.33371060207169745	0.0025655861486634764	0.3683	0.00529957649251334	0.3413	0.005188586609087296	0.2538936594247472	0.002284519460644838	0.2567	0.004514477932164471	0.2617	0.004649872148780007	0.19363728071254582	0.0019600485520198324	0.1715	0.0037694528780712992	0.1977	0.003982646230836979	0.15495903353591026	0.0017949586680126378	0.0925	0.0028973047820345034	0.1523	0.003593114387269072	7.040843441675073	0.007577629515637515	6.7167	0.014098372636584686	7.0504	0.015079986206890243
6	3.2252238916438456	0.005545214213731008	nan	nan	nan	nan	1.1913749290701403	0.004745386592108949	nan	nan	nan	nan	1.0947376211975428	0.004699223842285262	nan	nan	nan	nan	0.6938543902499198	0.0041359532583347645	nan	nan	nan	nan	0.549108134112945	0.003459038503799242	nan	nan	nan	nan	0.38462487355981545	0.002797517844759534	nan	nan	nan	nan	0.29082476007204006	0.002551985622989974	nan	nan	nan	nan	0.2100017269878864	0.0021705749434858803	nan	nan	nan	nan	0.152295660326154	0.0018328067815407462	nan	nan	nan	nan	7.87124071744011	0.008961305244429335	nan	nan	nan	nan
7	3.5489444801502943	0.005907303013266903	nan	nan	nan	nan	1.3314628961289365	0.005003009197723046	nan	nan	nan	nan	1.2138478271617146	0.004949630966708067	nan	nan	nan	nan	0.7883769219360262	0.00433382480822425	nan	nan	nan	nan	0.6248331438176694	0.0037408184503768265	nan	nan	nan	nan	0.44099471004103424	0.003165309279750332	nan	nan	nan	nan	0.3293617442032926	0.002676509146582766	nan	nan	nan	nan	0.23967963612992535	0.0022760769087153596	nan	nan	nan	nan	0.16917980916596628	0.0019294042536453877	nan	nan	nan	nan	8.560043506204577	0.010269955344526517	nan	nan	nan	nan
8	3.8928156874367144	0.006278578531310287	nan	nan	nan	nan	1.460917240868341	0.005237065179229646	nan	nan	nan	nan	1.3372601318811588	0.005214157335459387	nan	nan	nan	nan	0.8654268849867872	0.0045107902997822665	nan	nan	nan	nan	0.690252154799832	0.003949576486784618	nan	nan	nan	nan	0.49833296288064016	0.0033751326162243323	nan	nan	nan	nan	0.3771702353609444	0.002876928837998964	nan	nan	nan	nan	0.2725790916499963	0.002411270425739252	nan	nan	nan	nan	0.1969573485465906	0.0020880544712021036	nan	nan	nan	nan	9.173495344644488	0.011228572485821169	nan	nan	nan	nan
9	4.219498991092081	0.006587650127633981	nan	nan	nan	nan	1.6196171071410994	0.005508568074002977	nan	nan	nan	nan	1.4579211575372804	0.005467606323847627	nan	nan	nan	nan	0.947955115901373	0.0047194436526502214	nan	nan	nan	nan	0.7523992322456814	0.004113698729987584	nan	nan	nan	nan	0.548279935036173	0.003523325857880019	nan	nan	nan	nan	0.42083763964762044	0.0030713913614350656	nan	nan	nan	nan	0.30567449185491413	0.00259500300801081	nan	nan	nan	nan	0.2231655101136867	0.002204688998775117	nan	nan	nan	nan	9.73738865101629	0.012194241982233088	nan	nan	nan	nan
10	4.595206424278254	0.0069042229094026675	4.1914	0.013928266367355278	4.5769	0.013838664639335687	1.744580746871613	0.005757402918933626	2.1273	0.013347264551210483	1.7577	0.011550717337031497	1.57441619864026	0.005657232976647551	1.5535	0.011393584817782328	1.5756	0.011382814414721871	1.0232042565770028	0.0048831803316128864	1.0845	0.009886150666462656	1.0182	0.009847176041891403	0.8122967780076855	0.004273213189855861	0.827	0.008679118618846042	0.8269	0.008734623002740303	0.5943935363089959	0.003679911937868523	0.6066	0.007389427853359149	0.5898	0.007305723509687456	0.4489358557493349	0.0031734629883094618	0.4544	0.006442985643317856	0.4636	0.00651517490171983	0.3353286038033304	0.0027434726879771373	0.3417	0.0055690314238653746	0.3325	0.005520360042605916	0.25859690609912306	0.002393742840989417	0.2461	0.004655478385730085	0.2513	0.0047175026232107176	10.293156961276972	0.013020758456227539	10.0054	0.02427667777930085	10.2858	0.02634979764628181
